Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
"A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung","Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Veranstaltungsmanagement mit integrierter Deutsch-Förderung,190
"A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung","Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Vorbereitung auf Erzieherberufe mit integrierter Deutsch-Förderung,17755
A & S Pflegedienst Berlin GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Treskowallee 62, 10318 Berlin",Wirtschaft,Plug-in-Hybrid,6000
A Plus Transfer GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Rudelsburgstraße 27, 13129 Berlin",Wirtschaft,Plug-in-Hybrid,3000
a plusplus Architektur + Generalplanung + Gutachten GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Klausenerplatz 19, 14059 Berlin",Wirtschaft,Digitalprämie Berlin,15077
a production e. V.,Senatsverwaltung für Kultur und Europa,Projektförderung,2018,"Friedelstraße 30, 12047 Berlin",Kultur,dancing b(l)ack dada,37000
a tip: tap e. V.,Bezirksamt Neukölln,Projektförderung,2020,"Schustehrusstraße 29, 10585 Berlin",Umwelt,Nachhaltig und Gesund - Interkulturelles Wasserprojekt im Donaukiez,28000
A&A Babyartikel GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Kastanienallee 75, 10435 Berlin",Wirtschaft,"Der innovative Babysauger ""Lucky-Lulli"" soll entwickelt und zur Marktreife gebracht werden: Optimierung der Form, Materialtests, Produktionsverfahren (Zwei K Spritzguss) prüfen.",3000
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge MigrantInnen,125702
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,158318
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung",289840
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Deutsch & Berufsorientierung für junge Geflüchtete,144920
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Deutsch & Berufsorientierung für junge MigrantInnen,113968
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Erziehung & Soziales mit integrierter Deutsch-Förderung,439
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Event- und Kulturmanagement + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Event-Management mit integrierter Deutsch-Förderung,439
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Gastgewerbe & Tourismus + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Heilberufe & Pflege + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Online-Marketing & Social Media + Deutsch,21714
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Online-Marketing & Social Media mit integrierter Deutsch-Förderung,443
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,85701
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Erziehung & Soziales mit integrierter Deutsch-Förderung,48166
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Event- und Kulturmanagement + Deutsch,85701
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Event-Management mit integrierter Deutsch-Förderung,48166
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Gastgewerbe & Tourismus + Deutsch,85701
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Heilberufe & Pflege + Deutsch,85701
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Integrationslotsinnen/-en für Migrantinnen/-en, neu zugewanderte und geflüchtete Menschen",26361
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Kunst-, Kultur-, Medien- und Naturaktivitäten für Kinder",17185
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Online-Marketing & Social Media + Deutsch,171402
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Online-Marketing & Social Media mit integrierter Deutsch-Förderung,48560
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Projekthelfer in der Biologie-Station der Dathe-Oberschule,23376
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung",434760
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung für junge Geflüchtete",201228
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Deutsch & Berufsorientierung für junge Geflüchtete,217380
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Deutsch & Berufsorientierung für junge MigrantInnen,170952
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,31449
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Event- und Kulturmanagement + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Gastgewerbe & Tourismus + Deutsch,10857
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Heilberufe & Pflege + Deutsch,19543
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Online-Marketing & Social Media + Deutsch,32010
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Sprache, Orientierung und Ausbildung: Deutsch & Berufsorientierung für junge Migrant*innen",216564
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Sprache, Orientierung und Ausbildungsreife: Deutsch & Berufsorientierung für junge MigrantInnen",702150
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,286869
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Event- und Kulturmanagement + Deutsch,85701
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Heilberufe & Pflege + Deutsch,154262
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Integrationslotsinnen/-en für Migrantinnen/-en, neu zugewanderte und geflüchtete Menschen",26390
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Kunst-, Kultur-, Media- und Naturaktivitäten von Kindern",60449
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,Online-Marketing & Social Media + Deutsch,271986
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,221760
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Erziehung, Pflege & Soziales + Deutsch",102053
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Online-Marketing & Social Media + Deutsch,128520
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9a, 10997 Berlin",Arbeit,"Kunst-, Kultur-, Medien- und Naturaktivitäten für Kinder",17273
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Ausbildungsreife und Schulabschluss: (Erweiterte) Berufsbildungsreife,242694
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung für junge Geflüchtete",134152
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Sprache, Orientierung und Ausbildung: Deutsch & Berufsorientierung für junge Migrant*innen",309982
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Sprache, Orientierung und Ausbildungsreife: Deutsch & Berufsorientierung für junge Migrant*innen",147200
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,"Sprache, Orientierung und Ausbildungsreife: Deutsch & Berufsorientierung für junge MigrantInnen",354132
A&QUA gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Köpenicker Straße 9 a, 10997 Berlin",Arbeit,Erziehung & Soziales + Deutsch,10296
A. Baur Pharma GmbH & Co. KG,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Bouchestraße 12, 12435 Berlin",Wirtschaft,Entwicklung eines Verfahrens zur Herstellung eisenhaltiger Proteinpartikel aus Hanfprotein,379443
A. Baur Pharma GmbH & Co. KG,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Bouchestraße 12, 12435 Berlin",Wirtschaft,Erweiterung einer Betriebsstätte,45000
A.A.A. THILOS GmbH Reparaturservice für Haushaltsgeräte,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Transvaalstraße 16, 13351 Berlin",Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für A.A.A. THILOS GmbH,1600
A.F.A.S. Security & Service GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Am Bahnhof Westend 10 -11, 14059 Berlin",Arbeit,Lohnkostenzuschuss für A.F.A.S. Security & Service GmbH,4200
A.V.E. Energieberatung & Planungs GmbH,"Senatsverwaltung für Wirtschaft, Technologie und Forschung",Projektförderung,2016,"Gustav-Meyer-Allee 25, 13355 Berlin",Wirtschaft,"Entwicklung neuer Systemanwendungen zur elektrotechnischen Gebäudebeheizung unter Berücksichtigung eines veränderten Strommixes aus ""grüner bzw. konventioneller (grauer) Energie""",20000
A.Z.A.R. GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Rudower Straße 183A, 12351 Berlin",Wirtschaft,Elektrofahrzeug,4000
A-1 Petroleum Deutschland GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Am Priesterberg, 13465 Berlin",Wirtschaft,Digitalprämie Berlin,2200
Aadaktio ImmoVerwaltung GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Tulpenstraße 5, 12203 Berlin",Wirtschaft,Digitalprämie Berlin,4700
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2017,"Luisenstraße 53, 10117 Berlin",Wirtschaft,"Absichtserkennung, Sprachtrendanalyse & Generierung von Formulierungsvarianten",45000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2017,"Luisenstraße 53, 10117 Berlin",Wirtschaft,"Entwicklung einer innovativen, Cloud-basierten Middleware für Sprachautomatisierung",20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Luisenstraße 53, 10117 Berlin",Wirtschaft,Aufbau einer innovativen Vertriebsplattform im Rahmen von Skalierungsinitiative,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Luisenstraße 53, 10117 Berlin",Wirtschaft,Entwicklung eines Reinforcement Learning Systems zur effizienteren Nutzung von Produktivdaten,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Luisenstraße 53, 10117 Berlin",Wirtschaft,Sprachmodelle und Self-Service-Tool,15000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Dessauer Straße 28 - 29, 10117 Berlin",Wirtschaft,Technologie- und Wissenstransfer,15000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Dessauer Straße 28 - 29, 10963 Berlin",Wirtschaft,Einführung von Komposit-Dialogentwicklung,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Dessauer Straße 28 - 29, 10963 Berlin",Wirtschaft,Errichtung einer Betriebsstätte,3900
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Dessauer Straße 28 - 29, 10963 Berlin",Wirtschaft,Übertragung der künstlichen Intelligenz auf weitere Sprachen,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Dessauer Straße 28-29, 10963 Berlin",Wirtschaft,Evaluierung eines Markteintritts in Frankreich,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Dessauer Straße 28-29, 10963 Berlin",Wirtschaft,Gestaltung und Einführung eines partizipativen Zielsetzungsmechanismus,20000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Dessauer Straße 28-29, 10963 Berlin",Wirtschaft,Technologie- und Wissenstransfer,15000
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Technologie und Forschung",Projektförderung,2016,"Luisenstraße 53, 10117 Berlin",Wirtschaft,Aaron Automatisierte Kundeninteraktion,2800
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Technologie und Forschung",Projektförderung,2016,"Luisenstraße 53, 10117 Berlin",Wirtschaft,Aaron Matchmaking Tool V1,4200
Aaron GmbH,"Senatsverwaltung für Wirtschaft, Technologie und Forschung",Projektförderung,2016,"Luisenstraße 53, 10557 Berlin",Wirtschaft,Coaching,1800
ABA (AiR Berlin-Alexanderplatz) e. V.,Senatsverwaltung für Kultur und Europa,Projektförderung,2018,"Schönebergerstraße 13, 10963 Berlin",Kultur,World at Noon,6950
ABA (AiR Berlin-Alexanderplatz) e. V.,Senatsverwaltung für Kultur und Europa,Projektförderung,2019,"Schöneberger Straße 13, 10963 Berlin",Kultur,World od noon,7180
ABA (AiR Berlin-Alexanderplatz) e. V.,Senatsverwaltung für Kultur und Europa,Projektförderung,2020,"Schöneberger Straße 13, 10963 Berlin",Kultur,Basisförderung Bildende Kunst,20000
ABATON digital GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Reinhardtstraße 17, 10117 Berlin",Wirtschaft,Unterstützung der Aufbauphase von Existenzgründungen und Startups,50000
ABATON digital GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Reinhardtstraße 17, 10117 Berlin",Wirtschaft,Unterstützung der Aufbauphase von Existenzgründungen und Startups,50000
ABATON digital GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Reinhardtstraße 17, 10117 Berlin",Wirtschaft,Unterstützung der Aufbauphase von Existenzgründungen und Startups,50000
ABATON GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Reinhardtstraße 17, 10117 Berlin",Wirtschaft,Kontinuierliche Dokumentation und Zertifizierung einer Software als Medizinprodukt und Sicherstellung der Konformität mit regulatorischen Anforderungen an eine Digitale Gesundheitsanwendung (DiGA),20000
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec - Mädchen erobern technische Berufe,20777
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec- Mädchen erobern technische Berufe,220460
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Lessingstraße 79, 13158 Berlin",Arbeit,Zusatzqualifikationen für digitale Kompetenzen in der Aus- und Weiterbildung,182042
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec - Junge Frauen erobern technische Berufe,444012
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Lessingstraße 79, 13158 Berlin",Arbeit,Zusatzqualifikationen für digitale Kompetenzen in der Aus- und Weiterbildung,554954
ABB Ausbildungszentrum Berlin,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec - Junge Frauen erobern technische Berufe,447312
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec - Mädchen erobern technische Berufe (2015),198196
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Lessingstraße 79, 13158 Berlin",Arbeit,Teste Technik: Schraube an deiner beruflichen Zukunft 2016,129250
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Lessingstraße 79, 13158 Berlin",Arbeit,Zusatzqualifikationen für digitale Kompetenzen in der Aus- und Weiterbildung,154628
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Lessingstraße 79, 13158 Berlin",Arbeit,girlsatec - Junge Frauen erobern technische Berufe,455052
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Lessingstraße 79, 13158 Berlin",Arbeit,Transferstelle Zusatzqualifikation digitale Kompetenzen für Auszubildende und Ausbildungspersonal,376574
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2017,"Lessingstraße 79, 13158 Berlin",Wirtschaft,"Um- und Ausbau des ABB Aus- und Weiterbildungszentrums Berlin (Haus 14) in der Lessingstraße 79, in 13158 Berlin durch die ABB Ausbildungszentrum Berlin gGmbH",17810748
ABB Ausbildungszentrum Berlin gemeinnützige GmbH,"Senatsverwaltung für Wirtschaft, Technologie und Forschung",Projektförderung,2016,"Lessingstraße 79, 13158 Berlin",Wirtschaft,"Um- und Ausbau des ABB Aus- und Weiterbildungszentrums Berlin (Haus 14) in der Lessingstraße 79, in 13158 Berlin durch die ABB Ausbildungszentrum Berlin gGmbH",16784748
ABB Ausbildungszentrum Berlin gGmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2018,"Lessingstraße 79, 13158 Berlin",Wirtschaft,"Ergänzende Ausstattung für das ABB Aus- und Weiterbildungszentrums Berlin; ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 79, 13158 Berlin",1350000
ABB Ausbildungszentrum Berlin gGmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2020,"Lessingstraße 89, 13158 Berlin",Wirtschaft,"Ergänzende Ausstattung für das Aus- und Weiterbildungszentrums Berlin ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 89, 13158 Berlin",2250000
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Deutsch für den Beruf und Basisqualifikation in der Pflege,15969
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses,26493
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter,22543
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Qualifizierung vor Beschäftigung - Deutsch für den Beruf und Basisqualifizierung,9368
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA,29032
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA für junge Mütter,29032
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA mit erhöhtem Betreuungsbedarf,38980
ABBV GmbH,"Senatsverwaltung für Arbeit, Integration und Frauen",Projektförderung,2016,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Vorbereitung auf eine Ausbildung zum Sozialassistent / zur Sozialassistentin,24050
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Deutsch für den Beruf und Basisqualifikation in der Pflege,164
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses,48218
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter,28307
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter und Väter,19429
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des MSA,21497
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Vorbereitung auf eine Ausbildung zum Sozialassistent / zur Sozialassistentin,25003
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Vorbereitung auf eine Ausbildung zum Sozialassistenten/ zur Sozialassistentin,49295
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses,41248
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter und Väter,56715
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des MSA,77340
ABBV GmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Karl-Marx-Straße 255, 12057 Berlin",Arbeit,Nachträglicher Erwerb des MSA mit dem Schwerpunkt: Überwindung der Prüfungsangst,83801
